,category,word,segmentation,prediction,distance,overlaps,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn
58,_000,Agamograph,agamograph,ag @@amo @@graph,2,0,0,3,1,0,2,1
59,_000,Aggie,aggie,ag @@gie,1,0,0,2,1,0,1,1
60,_000,Aghdara,aghdara,ag @@hd @@ara,2,0,0,3,1,0,2,1
61,_000,Agnihotri,agnihotri,ag @@ni @@hot @@ri,3,0,0,4,1,0,3,1
62,_000,Agostinelli,agostinelli,ago @@sti @@nell @@i,3,0,0,4,1,0,3,1
63,_000,Agostini,agostini,ago @@sti @@ni,2,0,0,3,1,0,2,1
64,_000,Aguayo,aguayo,ag @@ua @@yo,2,0,0,3,1,0,2,1
65,_000,Aguila,aguila,ag @@uil @@a,2,0,0,3,1,0,2,1
66,_000,Ahasuerus,ahasuerus,ah @@as @@uer @@us,3,0,0,4,1,0,3,1
67,_000,Ahlen,ahlen,ahl @@en,1,0,0,2,1,0,1,1
68,_000,Ahlfors,ahlfors,ahl @@for @@s,2,0,0,3,1,0,2,1
69,_000,Ahvaz,ahvaz,ah @@va @@z,2,0,0,3,1,0,2,1
70,_000,Aintree,aintree,ain @@tree,1,0,0,2,1,0,1,1
71,_000,Aisha,aisha,ai @@sha,1,0,0,2,1,0,1,1
72,_000,Ajay,ajay,aj @@ay,1,0,0,2,1,0,1,1
73,_000,Akademeia,akademeia,aka @@de @@mei @@a,3,0,0,4,1,0,3,1
74,_000,Akkad,akkad,ak @@ka @@d,2,0,0,3,1,0,2,1
75,_000,Akṣayamati,akṣayamati,ak @@say @@ama @@ti,4,0,0,4,1,0,3,1
76,_000,Alaia,alaia,ala @@ia,1,0,0,2,1,0,1,1
77,_000,Alamut,alamut,alam @@ut,1,0,0,2,1,0,1,1
78,_000,Alanna,alanna,alan @@na,1,0,0,2,1,0,1,1
79,_000,Alaska,alaska,alaska,0,1,1,0,0,1,0,0
80,_000,Alba,alba,alba,0,1,1,0,0,1,0,0
81,_000,Alban,alban,alba @@n,1,0,0,2,1,0,1,1
82,_000,Albor,albor,al @@bor,1,0,0,2,1,0,1,1
83,_000,Alby,alby,al @@by,1,0,0,2,1,0,1,1
84,_000,Alcatraz,alcatraz,al @@cat @@raz,2,0,0,3,1,0,2,1
85,_000,Alcuin,alcuin,al @@cu @@in,2,0,0,3,1,0,2,1
86,_000,Alderamin,alderamin,al @@der @@ami @@n,3,0,0,4,1,0,3,1
87,_000,Aldous,aldous,aldo @@us,1,0,0,2,1,0,1,1
88,_000,Alemanni,alemanni,ale @@mann @@i,2,0,0,3,1,0,2,1
89,_000,Alewine,alewine,ale @@wine,1,0,0,2,1,0,1,1
90,_000,Alexandroupoli,alexandroupoli,alexa @@nd @@roup @@oli,3,0,0,4,1,0,3,1
91,_000,Alfaro,alfaro,alfa @@ro,1,0,0,2,1,0,1,1
92,_000,Alhena,alhena,al @@hen @@a,2,0,0,3,1,0,2,1
93,_000,Alianna,alianna,ali @@anna,1,0,0,2,1,0,1,1
94,_000,Alic,alic,ali @@c,1,0,0,2,1,0,1,1
95,_000,Alissa,alissa,ali @@ssa,1,0,0,2,1,0,1,1
96,_000,Alita,alita,ali @@ta,1,0,0,2,1,0,1,1
97,_000,Alizé,alizé,ali @@ze,2,0,0,2,1,0,1,1
98,_000,Alkincoats,alkincoats,al @@kin @@coat @@s,3,0,0,4,1,0,3,1
99,_000,Allah,allah,allah,0,1,1,0,0,1,0,0
100,_000,Allardyce,allardyce,alla @@rdy @@ce,2,0,0,3,1,0,2,1
101,_000,Allister,allister,all @@ister,1,0,0,2,1,0,1,1
102,_000,Alpestrine,alpestrine,al @@pes @@tri @@ne,3,0,0,4,1,0,3,1
103,_000,Altair,altair,alta @@ir,1,0,0,2,1,0,1,1
104,_000,Altenhofen,altenhofen,alt @@en @@hof @@en,3,0,0,4,1,0,3,1
105,_000,Amanar,amanar,ama @@nar,1,0,0,2,1,0,1,1
106,_000,Amaravati,amaravati,amara @@vati,1,0,0,2,1,0,1,1
107,_000,Amata,amata,ama @@ta,1,0,0,2,1,0,1,1
108,_000,Amdo,amdo,am @@do,1,0,0,2,1,0,1,1
109,_000,Aminah,aminah,amin @@ah,1,0,0,2,1,0,1,1
110,_000,Ammiyya,ammiyya,am @@mi @@yya,2,0,0,3,1,0,2,1
111,_000,Amoroso,amoroso,amor @@oso,1,0,0,2,1,0,1,1
112,_000,Amundsen,amundsen,am @@unds @@en,2,0,0,3,1,0,2,1
113,_000,Amyraldism,amyraldism,amy @@ral @@dis @@m,3,0,0,4,1,0,3,1
114,_000,Analgin,analgin,anal @@gin,1,0,0,2,1,0,1,1
115,_000,Anaximander,anaximander,ana @@xi @@man @@der,3,0,0,4,1,0,3,1
116,_000,Ancus,ancus,an @@cus,1,0,0,2,1,0,1,1
117,_000,Andalusia,andalusia,and @@al @@usia,2,0,0,3,1,0,2,1
118,_000,Andolina,andolina,and @@olin @@a,2,0,0,3,1,0,2,1
119,_000,Andreef,andreef,andre @@ef,1,0,0,2,1,0,1,1
120,_000,Androphagi,androphagi,and @@rop @@ha @@gi,3,0,0,4,1,0,3,1
121,_000,Angelus,angelus,angel @@us,1,0,0,2,1,0,1,1
122,_000,Angi,angi,ang @@i,1,0,0,2,1,0,1,1
123,_000,Anglistics,anglistics,ang @@listic @@s,2,0,0,3,1,0,2,1
124,_000,Angotti,angotti,ang @@otti,1,0,0,2,1,0,1,1
125,_000,Anguilla,anguilla,ang @@uil @@la,2,0,0,3,1,0,2,1
126,_000,Angus,angus,angus,0,1,1,0,0,1,0,0
127,_000,Anishinaabe,anishinaabe,an @@ish @@ina @@abe,3,0,0,4,1,0,3,1
128,_000,Anna,anna,anna,0,1,1,0,0,1,0,0
129,_000,Annette,annette,annette,0,1,1,0,0,1,0,0
130,_000,Anomadassi,anomadassi,an @@oma @@das @@si,3,0,0,4,1,0,3,1
131,_000,Anon,anon,an @@on,1,0,0,2,1,0,1,1
132,_000,Anselm,anselm,an @@sel @@m,2,0,0,3,1,0,2,1
133,_000,Anspach,anspach,an @@sp @@ach,2,0,0,3,1,0,2,1
134,_000,Antelope,antelope,ant @@elo @@pe,2,0,0,3,1,0,2,1
135,_000,Antheia,antheia,ant @@hei @@a,2,0,0,3,1,0,2,1
136,_000,Antinoan,antinoan,anti @@no @@an,2,0,0,3,1,0,2,1
137,_000,Antonescu,antonescu,anton @@escu,1,0,0,2,1,0,1,1
138,_000,Antwan,antwan,ant @@wan,1,0,0,2,1,0,1,1
139,_000,Anusim,anusim,an @@us @@im,2,0,0,3,1,0,2,1
140,_000,Aoki,aoki,ao @@ki,1,0,0,2,1,0,1,1
141,_000,Apatovian,apatovian,ap @@ato @@vian,2,0,0,3,1,0,2,1
142,_000,Apep,apep,ape @@p,1,0,0,2,1,0,1,1
143,_000,Aphrodite,aphrodite,ap @@hr @@od @@ite,3,0,0,4,1,0,3,1
144,_000,Apocrypha,apocrypha,ap @@oc @@ry @@pha,3,0,0,4,1,0,3,1
145,_000,Apolinar,apolinar,ap @@olin @@ar,2,0,0,3,1,0,2,1
146,_000,Apollyon,apollyon,ap @@oll @@yon,2,0,0,3,1,0,2,1
147,_000,Apop,apop,ap @@op,1,0,0,2,1,0,1,1
148,_000,Apotactite,apotactite,ap @@ota @@ct @@ite,3,0,0,4,1,0,3,1
149,_000,Aquila,aquila,a @@quil @@a,2,0,0,3,1,0,2,1
150,_000,Arata,arata,ara @@ta,1,0,0,2,1,0,1,1
151,_000,Arawak,arawak,ara @@wa @@k,2,0,0,3,1,0,2,1
152,_000,Araxes,araxes,ara @@xes,1,0,0,2,1,0,1,1
153,_000,Arazawa,arazawa,ara @@zawa,1,0,0,2,1,0,1,1
154,_000,Ardis,ardis,ar @@dis,1,0,0,2,1,0,1,1
155,_000,Arecibo,arecibo,are @@ci @@bo,2,0,0,3,1,0,2,1
156,_000,Arellano,arellano,are @@llan @@o,2,0,0,3,1,0,2,1
157,_000,Arencibia,arencibia,aren @@ci @@bia,2,0,0,3,1,0,2,1
158,_000,Argentine,argentine,argentine,0,1,1,0,0,1,0,0
159,_000,Argueta,argueta,argue @@ta,1,0,0,2,1,0,1,1
160,_000,Ariadne,ariadne,aria @@d @@ne,2,0,0,3,1,0,2,1
161,_000,Arias,arias,arias,0,1,1,0,0,1,0,0
162,_000,Arie,arie,ari @@e,1,0,0,2,1,0,1,1
163,_000,Arielle,arielle,ariel @@le,1,0,0,2,1,0,1,1
164,_000,Arijit,arijit,ari @@jit,1,0,0,2,1,0,1,1
165,_000,Arkhangelsk,arkhangelsk,ark @@hang @@els @@k,3,0,0,4,1,0,3,1
166,_000,Armin,armin,arm @@in,1,0,0,2,1,0,1,1
167,_000,Armine,armine,arm @@ine,1,0,0,2,1,0,1,1
168,_000,Armwood,armwood,arm @@wood,1,0,0,2,1,0,1,1
169,_000,Arnall,arnall,ar @@nall,1,0,0,2,1,0,1,1
170,_000,Arny,arny,ar @@ny,1,0,0,2,1,0,1,1
171,_000,Aronov,aronov,ar @@ono @@v,2,0,0,3,1,0,2,1
172,_000,Arreaga,arreaga,ar @@rea @@ga,2,0,0,3,1,0,2,1
173,_000,Artemisium,artemisium,artemis @@ium,1,0,0,2,1,0,1,1
174,_000,Artesia,artesia,arte @@sia,1,0,0,2,1,0,1,1
175,_000,Arutyunyan,arutyunyan,ar @@ut @@yu @@nya @@n,4,0,0,5,1,0,4,1
176,_000,Aryaman,aryaman,arya @@man,1,0,0,2,1,0,1,1
177,_000,Aryan,aryan,aryan,0,1,1,0,0,1,0,0
178,_000,Asatryan,asatryan,asa @@try @@an,2,0,0,3,1,0,2,1
179,_000,Asbest,asbest,as @@bes @@t,2,0,0,3,1,0,2,1
180,_000,Astaroth,astaroth,as @@taro @@th,2,0,0,3,1,0,2,1
181,_000,Astraea,astraea,as @@tra @@ea,2,0,0,3,1,0,2,1
182,_000,Atatürk,atatürk,ata @@tur @@k,3,0,0,3,1,0,2,1
183,_000,Atayde,atayde,ata @@yde,1,0,0,2,1,0,1,1
184,_000,Atha,atha,at @@ha,1,0,0,2,1,0,1,1
185,_000,Athanaselis,athanaselis,at @@hana @@sel @@is,3,0,0,4,1,0,3,1
186,_000,Atherton,atherton,at @@herton,1,0,0,2,1,0,1,1
187,_000,Atthill,atthill,at @@thi @@ll,2,0,0,3,1,0,2,1
188,_000,Atyap,atyap,at @@ya @@p,2,0,0,3,1,0,2,1
189,_000,Auble,auble,au @@ble,1,0,0,2,1,0,1,1
190,_000,Augustin,augustin,august @@in,1,0,0,2,1,0,1,1
191,_000,Aukštaitija,aukštaitija,au @@ks @@tai @@ti @@ja,5,0,0,5,1,0,4,1
192,_000,Aul,aul,au @@l,1,0,0,2,1,0,1,1
193,_000,Aurangzeb,aurangzeb,aura @@ng @@ze @@b,3,0,0,4,1,0,3,1
194,_000,Ausbruch,ausbruch,aus @@br @@uch,2,0,0,3,1,0,2,1
195,_000,Ausonian,ausonian,aus @@onia @@n,2,0,0,3,1,0,2,1
196,_000,Avans,avans,ava @@ns,1,0,0,2,1,0,1,1
197,_000,Avenzoar,avenzoar,ave @@nzo @@ar,2,0,0,3,1,0,2,1
198,_000,Averi,averi,ave @@ri,1,0,0,2,1,0,1,1
199,_000,Ax,ax,ax,0,1,1,0,0,1,0,0
200,_000,Ayanna,ayanna,a @@yan @@na,2,0,0,3,1,0,2,1
201,_000,Ayesha,ayesha,aye @@sha,1,0,0,2,1,0,1,1
202,_000,Azazel,azazel,az @@az @@el,2,0,0,3,1,0,2,1
203,_000,Azerbaijan,azerbaijan,azerbaijan,0,1,1,0,0,1,0,0
204,_000,B'way,b'way,b ' way,2,0,0,3,1,0,2,1
205,_000,B1,b1,b1,0,1,1,0,0,1,0,0
206,_000,BASIC,basic,basic,0,1,1,0,0,1,0,0
207,_000,BDD,bdd,b @@dd,1,0,0,2,1,0,1,1
208,_000,BLOB,blob,b @@lo @@b,2,0,0,3,1,0,2,1
209,_000,BOBFOC,bobfoc,bob @@fo @@c,2,0,0,3,1,0,2,1
210,_000,Babington,babington,ba @@bing @@ton,2,0,0,3,1,0,2,1
211,_000,Babler,babler,ba @@bler,1,0,0,2,1,0,1,1
212,_000,Baca,baca,ba @@ca,1,0,0,2,1,0,1,1
213,_000,Bacchanalia,bacchanalia,ba @@cc @@hana @@lia,3,0,0,4,1,0,3,1
214,_000,Badminton,badminton,badminton,0,1,1,0,0,1,0,0
215,_000,Bady,bady,bad @@y,1,0,0,2,1,0,1,1
216,_000,Baha,baha,baha,0,1,1,0,0,1,0,0
217,_000,Bahá',bahá',baha ',2,0,0,2,1,0,1,1
218,_000,Bajau,bajau,baja @@u,1,0,0,2,1,0,1,1
219,_000,Bakke,bakke,ba @@kk @@e,2,0,0,3,1,0,2,1
220,_000,Bakradze,bakradze,ba @@kra @@d @@ze,3,0,0,4,1,0,3,1
221,_000,Balaclava,balaclava,bala @@cl @@ava,2,0,0,3,1,0,2,1
222,_000,Balbriggan,balbriggan,bal @@bri @@gga @@n,3,0,0,4,1,0,3,1
223,_000,Baldenegro,baldenegro,bald @@ene @@gr @@o,3,0,0,4,1,0,3,1
224,_000,Baldo,baldo,bald @@o,1,0,0,2,1,0,1,1
225,_000,Baldree,baldree,bald @@ree,1,0,0,2,1,0,1,1
226,_000,Balhae,balhae,bal @@hae,1,0,0,2,1,0,1,1
227,_000,Balkan,balkan,balkan,0,1,1,0,0,1,0,0
228,_000,Ballew,ballew,ball @@ew,1,0,0,2,1,0,1,1
229,_000,Ballinluig,ballinluig,ball @@in @@lu @@ig,3,0,0,4,1,0,3,1
230,_000,Ballymena,ballymena,ball @@yme @@na,2,0,0,3,1,0,2,1
231,_000,Balmaceda,balmaceda,bal @@mac @@eda,2,0,0,3,1,0,2,1
232,_000,Baloo,baloo,bal @@oo,1,0,0,2,1,0,1,1
233,_000,Baltic,baltic,baltic,0,1,1,0,0,1,0,0
234,_000,Bamaca,bamaca,bam @@aca,1,0,0,2,1,0,1,1
235,_000,Bambara,bambara,bam @@bara,1,0,0,2,1,0,1,1
236,_000,Bangladesh,bangladesh,bangladesh,0,1,1,0,0,1,0,0
237,_000,Bankhar,bankhar,bank @@har,1,0,0,2,1,0,1,1
238,_000,Bannock,bannock,ban @@nock,1,0,0,2,1,0,1,1
239,_000,Baokang,baokang,bao @@kan @@g,2,0,0,3,1,0,2,1
240,_000,Baota,baota,bao @@ta,1,0,0,2,1,0,1,1
241,_000,Baphomet,baphomet,ba @@ph @@ome @@t,3,0,0,4,1,0,3,1
242,_000,Barbara,barbara,barbara,0,1,1,0,0,1,0,0
243,_000,Barbato,barbato,bar @@bat @@o,2,0,0,3,1,0,2,1
244,_000,Bardesanist,bardesanist,bard @@esa @@nist,2,0,0,3,1,0,2,1
245,_000,Barin,barin,bari @@n,1,0,0,2,1,0,1,1
246,_000,Barking,barking,barking,0,1,1,0,0,1,0,0
247,_000,Barlow,barlow,barlow,0,1,1,0,0,1,0,0
248,_000,Barlowe,barlowe,barlow @@e,1,0,0,2,1,0,1,1
249,_000,Barndt,barndt,barn @@dt,1,0,0,2,1,0,1,1
250,_000,Barolo,barolo,bar @@olo,1,0,0,2,1,0,1,1
251,_000,Baroque,baroque,baroque,0,1,1,0,0,1,0,0
252,_000,Bashkortostan,bashkortostan,bash @@kor @@tos @@tan,3,0,0,4,1,0,3,1
253,_000,Bason,bason,bas @@on,1,0,0,2,1,0,1,1
254,_000,Bastet,bastet,bas @@tet,1,0,0,2,1,0,1,1
255,_000,Bastian,bastian,bas @@tian,1,0,0,2,1,0,1,1
256,_000,Bathgate,bathgate,bath @@gate,1,0,0,2,1,0,1,1
257,_000,Baye,baye,bay @@e,1,0,0,2,1,0,1,1
258,_000,Baʿalim,baʿalim,ba @@Ê¿ @@ali @@m,5,0,0,4,1,0,3,1
259,_000,Beaudoin,beaudoin,beau @@do @@in,2,0,0,3,1,0,2,1
260,_000,Beaver,beaver,beaver,0,1,1,0,0,1,0,0
261,_000,Bebe,bebe,be @@be,1,0,0,2,1,0,1,1
262,_000,Bedf,bedf,bed @@f,1,0,0,2,1,0,1,1
263,_000,Bednar,bednar,bed @@nar,1,0,0,2,1,0,1,1
264,_000,Bednarczyk,bednarczyk,bed @@nar @@cz @@yk,3,0,0,4,1,0,3,1
265,_000,Beechler,beechler,beech @@ler,1,0,0,2,1,0,1,1
266,_000,Beland,beland,bela @@nd,1,0,0,2,1,0,1,1
267,_000,Belgium,belgium,belgium,0,1,1,0,0,1,0,0
268,_000,Beliveau,beliveau,bel @@ive @@au,2,0,0,3,1,0,2,1
269,_000,Bellatrix,bellatrix,bella @@trix,1,0,0,2,1,0,1,1
270,_000,Bellevue,bellevue,bellevue,0,1,1,0,0,1,0,0
271,_000,Bellona,bellona,bell @@ona,1,0,0,2,1,0,1,1
272,_000,Belux,belux,bel @@ux,1,0,0,2,1,0,1,1
273,_000,Benedicite,benedicite,ben @@ed @@ici @@te,3,0,0,4,1,0,3,1
274,_000,Benedictus,benedictus,benedict @@us,1,0,0,2,1,0,1,1
275,_000,Bennet,bennet,ben @@net,1,0,0,2,1,0,1,1
276,_000,Bentley,bentley,bentley,0,1,1,0,0,1,0,0
277,_000,Beran,beran,be @@ran,1,0,0,2,1,0,1,1
278,_000,Berber,berber,berber,0,1,1,0,0,1,0,0
279,_000,Berdan,berdan,be @@rdan,1,0,0,2,1,0,1,1
280,_000,Berling,berling,berlin @@g,1,0,0,2,1,0,1,1
281,_000,Bernadetta,bernadetta,bern @@ade @@tta,2,0,0,3,1,0,2,1
282,_000,Bernardini,bernardini,bernard @@ini,1,0,0,2,1,0,1,1
283,_000,Berrien,berrien,be @@rrie @@n,2,0,0,3,1,0,2,1
284,_000,Bessarabia,bessarabia,be @@ssar @@abia,2,0,0,3,1,0,2,1
285,_000,Bessinger,bessinger,be @@ssing @@er,2,0,0,3,1,0,2,1
286,_000,Beswick,beswick,be @@swick,1,0,0,2,1,0,1,1
287,_000,Bethuel,bethuel,beth @@uel,1,0,0,2,1,0,1,1
288,_000,Betsi,betsi,bets @@i,1,0,0,2,1,0,1,1
289,_000,Beveren,beveren,be @@vere @@n,2,0,0,3,1,0,2,1
290,_000,Beverly,beverly,beverly,0,1,1,0,0,1,0,0
291,_000,Bezpopovtsy,bezpopovtsy,be @@z @@pop @@ov @@ts @@y,5,0,0,6,1,0,5,1
292,_000,Bełchatów,bełchatów,be @@Å‚ @@cha @@tow,6,0,0,4,1,0,3,1
293,_000,Bhabhi,bhabhi,b @@hab @@hi,2,0,0,3,1,0,2,1
294,_000,Bhutani,bhutani,bhutan @@i,1,0,0,2,1,0,1,1
295,_000,Biddeford,biddeford,bid @@de @@ford,2,0,0,3,1,0,2,1
296,_000,Bigby,bigby,big @@by,1,0,0,2,1,0,1,1
297,_000,Biggleswade,biggleswade,big @@gles @@wad @@e,3,0,0,4,1,0,3,1
298,_000,Biles,biles,bile @@s,1,0,0,2,1,0,1,1
299,_000,Billington,billington,billing @@ton,1,0,0,2,1,0,1,1
300,_000,Binedama,binedama,bin @@eda @@ma,2,0,0,3,1,0,2,1
301,_000,Birdie,birdie,bird @@ie,1,0,0,2,1,0,1,1
302,_000,Birkeland,birkeland,bi @@rke @@land,2,0,0,3,1,0,2,1
303,_000,Bisel,bisel,bis @@el,1,0,0,2,1,0,1,1
304,_000,Bisrock,bisrock,bis @@rock,1,0,0,2,1,0,1,1
305,_000,Bissonnet,bissonnet,bis @@son @@net,2,0,0,3,1,0,2,1
306,_000,Bivings,bivings,bi @@ving @@s,2,0,0,3,1,0,2,1
307,_000,Blaenrhondda,blaenrhondda,b @@la @@en @@rh @@ond @@da,5,0,0,6,1,0,5,1
308,_000,Blagoje,blagoje,b @@lag @@oj @@e,3,0,0,4,1,0,3,1
309,_000,Blakely,blakely,blake @@ly,1,0,0,2,1,0,1,1
310,_000,Blanksville,blanksville,blank @@sville,1,0,0,2,1,0,1,1
311,_000,Blazek,blazek,blaze @@k,1,0,0,2,1,0,1,1
312,_000,Blimp,blimp,b @@lim @@p,2,0,0,3,1,0,2,1
313,_000,Blithe,blithe,b @@lit @@he,2,0,0,3,1,0,2,1
314,_000,Blossom,blossom,blossom,0,1,1,0,0,1,0,0
315,_000,Blumenthal,blumenthal,blu @@ment @@hal,2,0,0,3,1,0,2,1
316,_000,Blyth,blyth,b @@ly @@th,2,0,0,3,1,0,2,1
317,_000,Blythe,blythe,b @@ly @@the,2,0,0,3,1,0,2,1
318,_000,Bodic,bodic,bo @@dic,1,0,0,2,1,0,1,1
319,_000,Boeve,boeve,bo @@eve,1,0,0,2,1,0,1,1
320,_000,Bogomaz,bogomaz,bog @@oma @@z,2,0,0,3,1,0,2,1
321,_000,Boisclair,boisclair,bois @@cl @@air,2,0,0,3,1,0,2,1
322,_000,Boise,boise,boise,0,1,1,0,0,1,0,0
323,_000,Bok,bok,bo @@k,1,0,0,2,1,0,1,1
324,_000,Bole,bole,bo @@le,1,0,0,2,1,0,1,1
325,_000,Boling,boling,bo @@ling,1,0,0,2,1,0,1,1
326,_000,Bolling,bolling,bo @@lling,1,0,0,2,1,0,1,1
327,_000,Bond,bond,bond,0,1,1,0,0,1,0,0
328,_000,Bondoc,bondoc,bond @@oc,1,0,0,2,1,0,1,1
329,_000,Bonifatius,bonifatius,bon @@if @@ati @@us,3,0,0,4,1,0,3,1
330,_000,Borussia,borussia,bo @@rus @@sia,2,0,0,3,1,0,2,1
331,_000,Bosniak,bosniak,bosnia @@k,1,0,0,2,1,0,1,1
332,_000,Bovell,bovell,bo @@vel @@l,2,0,0,3,1,0,2,1
333,_000,Bowles,bowles,bowl @@es,1,0,0,2,1,0,1,1
334,_000,Bracken,bracken,bra @@cken,1,0,0,2,1,0,1,1
335,_000,Bradley,bradley,bradley,0,1,1,0,0,1,0,0
336,_000,Bradleya,bradleya,bradley @@a,1,0,0,2,1,0,1,1
337,_000,Branagan,branagan,bran @@aga @@n,2,0,0,3,1,0,2,1
338,_000,Brauer,brauer,bra @@uer,1,0,0,2,1,0,1,1
339,_000,Braun,braun,braun,0,1,1,0,0,1,0,0
340,_000,Braylon,braylon,bray @@lon,1,0,0,2,1,0,1,1
341,_000,Brayson,brayson,bray @@son,1,0,0,2,1,0,1,1
342,_000,Brazos,brazos,bra @@zos,1,0,0,2,1,0,1,1
343,_000,Brecqhou,brecqhou,br @@ec @@q @@ho @@u,4,0,0,5,1,0,4,1
344,_000,Breit,breit,br @@eit,1,0,0,2,1,0,1,1
345,_000,Brem,brem,br @@em,1,0,0,2,1,0,1,1
346,_000,Brescia,brescia,br @@es @@cia,2,0,0,3,1,0,2,1
347,_000,Bria,bria,br @@ia,1,0,0,2,1,0,1,1
348,_000,Brianne,brianne,brian @@ne,1,0,0,2,1,0,1,1
349,_000,Brigadoon,brigadoon,brig @@ado @@on,2,0,0,3,1,0,2,1
350,_000,Briscoe,briscoe,br @@is @@coe,2,0,0,3,1,0,2,1
351,_000,Brister,brister,br @@ister,1,0,0,2,1,0,1,1
352,_000,Broaden,broaden,broad @@en,1,0,0,2,1,0,1,1
353,_000,Brogan,brogan,bro @@gan,1,0,0,2,1,0,1,1
354,_000,Bronwen,bronwen,bro @@n @@wen,2,0,0,3,1,0,2,1
355,_000,Broussard,broussard,bro @@uss @@ard,2,0,0,3,1,0,2,1
