nonnephritic	non @@nephro @@itis	010
fluviography	fluvio @@graph	010
asstard	asshole @@retard	001
groundsel	ground @@sill	001
unsaid	un @@say @@ed	110
nidology	nido @@en @@nest	010
bulldoze	bull @@dose	001
cefotetan	cef @@o @@di @@thietane	010
logophobe	logo @@phobia	010
meclozine	metho @@chloro @@piperazine	010
doomsaid	doomsay @@ed	100
netherlands	nether @@land	001
wedbreak	wed @@break @@er	011
burrobrush	burro @@bush	001
halibut	whole @@y @@butt	011
landfyrd	land @@ferd	001
veejay	video @@deejay	001
undersaid	under @@say @@ed	110
amiodarone	amino @@iod @@coumarone	010
ungainsaid	un @@gainsay @@ed	110
hypernym	hyper @@onym	010
polliwog	poll @@wiggle	001
likam	like @@hame	001
this'n	this @@one	001
fanac	fan @@act @@ive @@ity	011
tétraphobie	tétra @@phobia	010
pers	per @@'s	001
whatchoo	what @@you	001
driveshed	drive @@sheddriveshed	001
naysaid	nay @@say @@ed	101
iodophor	iodo @@phore	010
anthole	ant @@holeanthole	001
hyperpnoea	hyper @@pnea	010
idiotropic	idio @@tropic @@or	010
uga	U @@Ga.	001
buckram	buck @@ramson	001
netflix	Net @@flicks	001
hidegild	hide @@geldhidegild	001
fluorouracil	fluoro @@uro @@acetic @@ile	010
dodipole	dote @@poll	001
dumbledore	dumble @@dor	001
tholemod	thole @@mood	001
cimetidine	cyano @@meth @@guanidine	010
dexnorgestrel	dex @@nor @@gestr @@ethyl	010
shipfyrd	ship @@ferd	001
bromouracil	bromo @@uro @@acetic @@ile	010
hallmote	hall @@moot	001
dead-naming	dead @@name	001
saltaire	Salt @@Titus Salt	001
anisomelia	an @@iso @@μέλος	010
tindall	Tyne @@dale	001
cattlewealth	cattle @@wealthcattlewealth	001
lawmaking	law @@make	001
chain-melted	chain @@melt	001
forty-leven	forty @@eleven	001
wardmote	ward @@moot	001
netherlands	nether @@land	001
